X,Y,FID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,DATA_SECURITY,DISTRIBUTION_POLICY,LOADDATE,FTYPE,FCODE,NAME,ISLANDMARK,POINTLOCATIONTYPE,ADMINTYPE,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID
-8558663.6242,4904449.7796,940500,{61B849B0-F425-4A04-BE4A-5F4712CA4DE2},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Pennsylvania Capitol,2,1,3,Not Available,North 3rd Street and State Street,Harrisburg,PA,17120,1193427,Not Available,Not Available,{FD6A813A-764E-4252-A274-16A77C132C6B}
-10419931.3403,5099924.8174,940503,{6630C70D-3160-44E9-8EDB-9D5666C9D774},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Iowa State Capitol,2,1,3,Not Available,East 9th Street and Grand Avenue,Des Moines,IA,50307,463588,Not Available,Not Available,{13085FE0-FE3C-43A6-897D-673111A684E6}
-9020569.0995,4028861.0149,940504,{B2CF5878-4BFD-419E-A03F-61C652A5A924},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,South Carolina State House,2,1,3,Not Available,11 Gervais Street,Columbia,SC,29201,1226756,Not Available,Not Available,{95F547BE-4B21-47A7-9D5A-2DC3BEE0958B}
-11668543.4442,5033058.1001,940505,{E3C51D5F-1AFC-473C-BE37-B015D326CE67},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Wyoming State Capitol,2,1,3,Not Available,200 West 24th Street,Cheyenne,WY,82002,1608605,Not Available,Not Available,{2D30B84B-7AAF-42EE-856D-BF6123414319}
-9085007.0791,4627057.7207,940506,{4CAB05AE-BD58-4EBE-9DA6-61399FC68D3E},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,West Virginia State Capitol,2,1,3,Not Available,1900 Kanawha Boulevard East,Charleston,WV,25305,1548950,Not Available,Not Available,{3B7024F3-7210-4633-B321-4974DA53172B}
-13332324.1167,4745202.1609,940507,{5373C822-12D2-4413-AB3C-42E362DA975B},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Nevada State Capitol,2,1,3,Not Available,101 North Carson Street,Carson City,NV,89701,860728,Not Available,Not Available,{97552043-55EB-4D6B-BE6A-53C9C42AC50D}
-10150934.207,3562432.3267,940509,{F830F534-1CF3-4726-8FC2-6EA15821FA88},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Louisiana State Capitol,2,1,3,Not Available,North 3rd Street and State Capitol Drive,Baton Rouge,LA,70802,552788,Not Available,Not Available,{95E1788D-AAC6-4FC2-8CE4-9756084B5450}
-10880403.4465,3538904.6516,940511,{AB4AAB67-2B5E-450F-8C33-3149062D9B41},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Texas State Capitol,2,1,3,Not Available,1100 Congress Avenue,Austin,TX,78701,2032563,Not Available,Not Available,{A33C179B-F8F4-4B35-BE9C-004F0F43AD3A}
-8514942.9476,4718648.7341,940512,{7F3D53A8-69CA-474A-93FC-534A362FD16D},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Maryland State House,2,1,3,Not Available,100 State Circle,Annapolis,MD,21401,587533,Not Available,Not Available,{8D7C179C-C82D-449E-AA29-2B2CDC330484}
-8210647.5083,5259228.8014,940513,{545CE616-F54A-4F35-87C6-C666C4F551D6},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,New York State Capitol,2,1,3,Not Available,State Street,Albany,NY,12224,2426983,Not Available,Not Available,{65709CCF-8FBA-4618-933E-07E5695DC447}
-10260633.9736,4661571.4659,940514,{458DDA43-DA6E-456B-B95F-01887787E61A},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Missouri State Capitol,2,1,3,Not Available,201 West Capitol Avenue,Jefferson City,MO,65101,2721465,Not Available,Not Available,{C551CE82-72D7-46F6-9039-781E2DA7A9B5}
-14962501.6032,8031042.3894,940515,{E9B57CAC-D0AD-476E-9DD6-0929D88D4C0D},Not Available,{879EC9CF-DFCE-4A14-82FC-60F2B66884AB},AK miscellaneous and Schools ORNL dataset update through TNM Corps project processed March 2014,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,2014/03/17 15:48:52,830,83006,Alaska State Capitol,2,1,3,Not Available,120 East 4th Avenue,Juneau,AK,99801,2721466,Not Available,Not Available,{C8D222C9-0CBA-4CD0-A0D6-DBD3B8CEBB2E}
-8406801.0475,4744226.2497,940516,{790A9DB1-4AF7-469E-A1A2-1E81EA31279B},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Legislative Hall,2,1,3,Not Available,411 Legislative Avenue,Dover,DE,19901,2721467,Not Available,Not Available,{8CBD7BCA-DAC8-45E4-9337-7839575972E9}
-9382243.2581,3559989.0088,940517,{2847F45C-982B-406B-BF07-52FA25D9A0BC},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,The Capitol,2,1,3,Not Available,400 South Monroe Street,Tallahassee,FL,32399,2721468,Not Available,Not Available,{C8ABD2E2-0DA1-4C4D-9033-4A8748CA0A6D}
-17572596.0799,2428563.5337,940518,{C9A61480-B755-4A43-879F-EA6BAABCD0B2},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Hawaii State Capitol,2,1,3,Not Available,415 South Beretania Street,Honolulu,HI,96813,2721469,Not Available,Not Available,{522B7CE5-9C4F-418C-B15C-7C80D988E6A7}
-12935307.9457,5406484.3034,940519,{FCF99D33-942E-4C48-BE44-BCA981071932},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Idaho State Capitol,2,1,3,Not Available,700 West Jefferson Street,Boise,ID,83702,375261,Not Available,Not Available,{D577EC54-012B-41E5-94EA-309DC5F706BC}
-9448281.8349,4605833.7834,940520,{7D0F28CF-E945-459A-9CF3-442A1BAD8134},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,Kentucky State Capitol,2,1,3,Not Available,700 Capitol Avenue Loop,Frankfort,KY,40601,2721470,Not Available,Not Available,{FE15A178-8A55-4497-A46A-2E61F1B9C464}
-7963603.9862,5343518.1677,940522,{22A834D3-1A9B-46E1-9B95-360356D652AC},Not Available,{648B2934-9BB4-416F-8721-6158039E2C0C},State Capitol buildings for U.S. processed by NGTOC December 2012,U.S. Geological Survey,5,E4,2012/12/21 14:51:56,830,83006,New Hampshire State House,2,1,3,Not Available,107 North Main Street,Concord,NH,03301,1917206,Not Available,Not Available,{AFE6DB90-DBD0-40B7-9A28-4F607F01BD26}
